upc_code,product_name,price,fluid_ounces,servings,serving_size,calories,fat_total,fat_sat,fat_poly,fat_mono,sodium,carbs,ingredients
850551 00538,Sir Kensington's Organic Mayo,9.49,16,32,13,100,10,1,0,0,0.08,0,"organic sunflower oil, organic egg yolks, water, organic distilled vinegar, organic lemon juice, fair trade organic cane sugar, salt, organic ground mustard, organic black pepper"
850551 00537,Sir Kensington's Avocado GF Mayo,9.99,16,32,14,100,11,2,0,0,0.09,0,"avocado oil, egg yolks, water, distilled vinegar, fair trade organic cane sugar, salt, lime juice concenrate, mustard flour, black pepper, lime oil"
052500 06767,Duke's Mayo Light with Olive Oil Sqz,3.39,18,36,15,50,5,0.5,1.5,2.5,0.105,1,"water, olive oil, canola oil, soybean oil, modified food starch, egg yolks, distilled and cider vinegar, sugar, salt, lemon juice, spice, xanthan gum, potassium sorbate (preservative), d,l, alpha tocopherol acetate (vitamin e), beta carotene (color), natural flavors, calcium disodium edta addted to protect flavor"
052500 05687,Duke's Mayo Light Sqz,3.39,18,36,15,50,5,1,3,1,0.105,1,"water, soybean oil, modified food starch, egg yolks, distilled and cider vinegar, sugar, salt, lemon juice, spice, xanthan gum, potassium sorbate (preservative), d,l, alphia tocopherol acetate (vitamin e), beta carotene (color), natural flavors, calcium disodium edta added to protect flavor"
052500 05009,Duke's Mayo Sqz,3.39,18,36,14,100,12,2,7,2.5,0.07,0,"soybean oil, egg yolks, water, distilled and cider vinegar, salt, oleoresin paprika, natural flavors, calcium disodium edta added to protect flavor"
013000 00045,Heinz Mayo,4.39,19,37,14,100,11,1.5,0,0,0.08,0,"soybean oil, eggs (whole eggs and egg yolks), distilled white vinegar, water, salt, sugar, natural flavor (contains mustard), lemon juice concentrate, calcium disodium edta (to protect freshness)"
013000 01309,Heinz Mayochup Sauce Sqz,4.49,19.25,19,29,160,15,2.5,0,0,0.17,4,"soybean oil, tomato concentrate, high fructose corn syrup, distilled white vinegar, <2% of salt, egg yolks, natural flavor, sugar, whole eggs, potassium sorbate, sodium benzoate, and calcium disodium edta (to protect freshness), onion powder, garlic powder, lemon juice concetrate, xanthan gum, modified food starch, paprika extract (color)"
048001 35428,Hellman's Mayo Light Sqz,4.99,20,39,15,35,3.5,0.5,2,1,0.11,1,"water, soybean oil, modified food starch (corn, potato)*, sugar, distilled vinegar, eggs, salt, lemon juice concentrate, sorbic acid* and calcium disodium edta (used to protect quality), natural flavor, paprika extract, vitamin e"
048001 35450,Hellman's Mayo Real Sqz,4.99,20,39,14,100,11,1.5,6,2.5,0.095,0,"soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors"
013000 01077,Harris Teeter Mayo Real Sqz,2.99,22,44,13,100,11,1.5,0,0,0.075,0,"soybean oil, whole eggs and egg yolks, water, <2% of: vinegar, salt, sugar, lemon juice concentrate, natural flavor, calcium disodium edta (to protect flavor), oleoresin paprika"
021000 02678,Kraft Mayo Olive Oil Sqz,4.99,22,44,15,50,5,0.5,0,0,0.105,1,"water, olive oil, canola oil, soybean oil, vinegar, modified food starch*, eggs, sugar, <2% of egg yolk, salt, mustard flour, phosphoric acid*, natural flavor, dried onion, beta-carotene* (color), oleoresin paprika* (color), potassium sorbate* and calcium disodium edta (to protect flavor)"
021000 06272,Kraft Avocado Oil Mayo Sqz,4.99,22,44,14,45,4.5,0.5,1.5,2.5,0.1,<1,"water, avocado oil, canola oil, soybean oil, vinegar, eggs, modified food starch*, egg yolks, <2% of the following: salt, sugar, mustard flour, phosphoric acid*, natural flavor, potassium sorbate* and calcium disodium edta (as preservatives)"
021000 02679,Kraft Real Mayo Sqz,4.99,22,44,13,90,10,1.5,0,0,0.07,0,"soybean oil, water, eggs, vingear, <2% sugar, salt, egg yolks, natural flavor (contains mustard), lemon juice concentrate, calcium disodium edta, dried garlic, dried onions, paprika"
021000 02675,Kraft Miracle Whip,4.99,22,44,15,50,5,1,0,0,0.105,2,"soybean oil, water, vinegar, sugar, modified cornstarch, egg yolks, salt, natural flavor, mustard flour, spice, paprika, dried garlic"
048001 53471,Hellman's Vegan Mayo,5.99,24,47,14,90,10,1.5,6,2,0.12,<1,"soybean oil, water, sugar, distilled vinegar, salt, <2% of: modified food starch (corn,potato), lemon juice concentrate, natural flavor, calcium disodium edta (used to protect quality), paprika oleoresin"
041550 45108,Home Brand Mayo,1.99,30,59,13,90,10,1.5,0,0,0.07,0,"soybean oil, water, whole eggs, egg yolks, vinegar, <2% of: salt, sugar, lemon juice concentrate, calcium disodium edta (to protect flavor), natural flavors, oleoresin paprika"
072036 98522,Harris Teeter Mayo Real,2.99,30,60,14,110,12,2,0,0,0.08,0,"soybean oil, whole eggs and egg yolks, water, <2% of: vinegar, salt, sugar, lemon juice concentrate, natural flavor, calcium disodium edta (to protect flavor), oleoresin paprika"
021000 02632,Kraft Real Mayo,3.89,30,60,13,90,10,1.5,0,0,0.07,0,"soybean oil, water, eggs, vingear, <2% sugar, salt, egg yolks, natural flavor (contains mustard), lemon juice concentrate, calcium disodium edta, dried garlic, dried onions, paprika"
021000 06270,Kraft Avocado Oil Mayo,3.89,30,60,14,45,4.5,0.5,0,0,0.1,<1,"water, avocado oil, canola oil, soybean oil, vinegar, eggs, modified food starch*, egg yolks, <2% of the following: salt, sugar, mustard flour, phosphoric acid*, natural flavor, potassium sorbate* and calcium disodium edta (as preservatives)"
021000 02631,Kraft Olive Oil Mayo,3.89,30,60,15,50,5,0.5,0,0,0.105,1,"water, olive oil, canola oil, vinegar, soybean oil, modified food starch*, eggs, sugar,<2% of egg yolks, salt, mustard flour, phosphoric acid*, dried onions, natural flavor, oleoresin paprika* (color), beta-carotene* (color), potassium sorbate* and calcium disodium edta (to protect flavor)"
048001 21358,Hellman's Mayo Light,3.99,30,60,15,35,3.5,0.5,2,1,0.11,1,"water, soybean oil, modified food starch (corn, potato)*, sugar, distilled vinegar, eggs, salt, lemon juice concentrate, sorbic acid* and calcium disodium edta (used to protect quality), natural flavor, paprika extract, vitamin e"
048001 20436,Hellman's Mayo Olive Oil,3.99,30,59,14,60,6,1,3.5,2,0.12,<1,"water, soybean oil, olive oil, whole eggs and egg yolks, modified potato starch, sugar, distilled vinegar, salt, lemon juice concentrate, sorbic acid and calcium disodium edta (used to protect quality), natural flavor, paprika extract"
048001 21392,Hellman's Mayo Canola,3.99,30,60,14,40,4,0,1,2,0.115,1,"water, canola oil, modified food starch (corn, potato)*, sugar, eggs+, distilled vinegar, salt, lemon juice concentrate, sorbic acid* and calcium disodium edta (used to protect quality), natural flavor, extractives of paprika, vitamin e, beta carotene (color)*"
048001 21348,Hellman's Mayo Real,3.99,30,60,13,90,10,1.5,6,2.5,0.09,0,"soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (usted to protect quality), natural flavors"
021000 02650,Kraft Miracle Whip Light,4.19,30,60,15,20,1.5,0,1,0,0.125,2,"water, vinegar, soybean oil, modified food starch, high fructose corn syrup, sugar, salt, <2% of natural falvor, eggs, cellulose gel, mustard, potassium sorbate (to protect freshness), xanthan gum, cellulose gum, spice, paprika, sucralose and acesulfame potassium (sweeteners), dried garlic"
021000 02649,Kraft Miracle Whip,4.19,30,60,15,50,5,1,3,1,0.105,2,"soybean oil, water, vinegar, sugar, modified cornstarch, egg yolks, salt, natural flavor, mustard flour, spice, paprika, dried garlic"
013000 00036,Heinz Mayo Real,4.49,30,58,14,100,11,1.5,0,0,0.08,0,"soybean oil, eggs (whole eggs and egg yolks), distilled white vinegar, water, salt, sugar, natural flavor (contains mustard), lemon juice concentrate, calcium disodium edta (to protect freshness)"
052500 05005,Duke's Mayo,3.89,32,64,14,100,12,1.5,7,2.5,0.075,0,"soybean oil, eggs, water, distilled and cider vinegar, salt, oleoresin paprika, natural flavors, calcium disodium edta added to protect flavor"
